agency,db_type,country_name,country,paid,registration_required,government_db,url,notes,blog_post,video_url
Jersey Financial Services Comission,Business Registry,Jersey,UK,True,False,True,https://www.jerseyfsc.org/registry/documentsearch/,Available: detailed company information,,
Department of Economic Development,Business Registry,Isle of Man,IM,True,False,True,http://www.gov.im/ded/pvi/pvi_fr.html,Available: detailed company information,,
Israel Securities Authority,Business Registry,Israel,IL,False,False,True,http://www.isa.gov.il/Default.aspx?Site=ENGLISH&id=-17,Available: list of issuers with basic company information,,
Chamber of Commerce Registry,Business Registry,Italy,IT,True,False,True,http://www.registroimprese.it/ ,Available: detailed company information,,
CONSOB,Business Registry,Italy,IT,False,False,True,http://www.consob.it/mainen/issuers/listed_companies/index.html,Available: detailed information about all listed companies,,
Borsa Italiana,Business Registry,Italy,IT,False,False,True,http://www.borsaitaliana.it/borsa/azioni/documenti/societa-quotate/documenti.html?lang=en,Available: detailed information about all listed companies,,
Ministry of Justice Registry,Business Registry,Japan,JP,False,False,True,http://www1.touki.or.jp/gateway.html,Available only in Japanese,,
Osaka Securities Exchange,Business Registry,Japan,JP,False,False,True,http://www.ose.or.jp/e/,Available: all listed companies and basic information,,
Nagoya Stock Exchange,Business Registry,Japan,JP,False,False,True,http://www.nse.or.jp/e/index.html,Available: all listed companies and basic information,,
Tokyo Stock Exchange,Business Registry,Japan,JP,False,False,True,http://www.tse.or.jp/english/,Available: all listed companies and basic information,,
Companies Control Department,Business Registry,Jordan,JO,False,False,True,http://www.ccd.gov.jo:7777/ccd_gov_jo_2/CompanyInquiry/companyByNameAction_reset.do,Available: search by name and basic company information,,
Jordan Stock Exchange,Business Registry,Jordan,JO,False,False,True,http://www.exchange.jo/en/equities,Available: list of issuers with basic company information,,
Public Services and Information Online,Business Registry,Kazakhstan,KZ,False,False,True,http://egov.kz/wps/portal/!ut/p/b1/04_SjzQ0tTQ0NTAwNbDQj9CPykssy0xPLMnMz0vMAfGjzOL9PQzd3E0tjQ0MnP0NDDwdA4zd_DxNgFwDoIJIoAIDHMDRgJD-cP0oVCX-LhauBp4WpsZ-bj4eRgbeRlAFeKzw88jPTdXPjcqx9NR1VAQAmFGErg!!/dl4/d5/L0lDUmlTUSEhL3dHa0FKRnNBLzRKVXFDQSEhL2Vu/,Some company information available,,
Office of the Registrar of Companies,Business Registry,Jamaica,JM,True,False,True,https://www.orcjamaica.com/search/viewdocuments.asp,Available: company search and original documents,,
Ministry of Justice,Business Registry,Kazakhstan,KZ,False,False,True,http://www.adilet.gov.kz/en/baza_zt,Available: database of registered companies. Full available in Russian and Kazakh,,
Kazakhstan Stock Exchange,Business Registry,Kazakhstan,KZ,False,False,True,http://www.kase.kz/en/emitters,Available: list of issuers with basic company information,,
Kyrgyz Stock Exchange,Business Registry,Kyrgyzstan,KG,False,False,True,http://www.kse.kg/en/PublicInfo/Page:3,Available: list of issuers with basic company information,,
Lursoft,Business Registry,Latvia,LV,True,False,True,http://www.lursoft.lv/database_of_all_companies_registered_in_Latvia.html,Available: detailed company information,,
Land and Trade Registry,Business Registry,Liechtenstein,LI,True,False,True,http://www.oera.li/hrweb/eng/firmensuche.htm,Available: detailed company information,,
Centre of Registers,Business Registry,Lithuania,LT,False,False,True,http://www.registrucentras.lt/jar_p_en/,Available: detailed company information,,
