blog_post,government_db,registration_required,video_url,url,country,db_type,agency,paid,notes
,True,False,,https://www.secretary.state.nc.us/corporations/CSearch.aspx,US,business,North Carolina Secretary of State,False,Available: search for company name or number with basic company information
,True,False,,http://www.bmv.com.mx/,MX,business,Mexico Stock Exchange,False,Available: list of all issuers and basic company information
,True,False,,http://www.sfc.hk/publicregWeb?locale=en,HK,business,Securities Commission,False,
,True,False,,https://wyobiz.wy.gov/Business/FilingSearch.aspx,US,business,Wyoming Secretary of State,False,Available: search for company name or number with basic company information
,False,False,,http://www.bmfbovespa.com.br/cias-listadas/empresas-listadas/BuscaEmpresaListada.aspx?Idioma=en-us,BR,commercial,BM&FBOVESPA,False,Available: a list of foreign investors
,True,False,,http://www.bcregistryservices.gov.bc.ca/bcreg/corppg/crsearch.page?,CA,business,British Columbia Registry Services,True,Online search not available
,False,False,,http://datanest.fair-play.sk/en/pages/index,SK,commercial,Datanest,False,"database with diverse information about the functioning of Slovakia: the governments, bureaus, political parties, economy, but also the relations between the various subjects operating in the country"
,True,False,,http://www.ccibenin.org/index.php?option=com_docman&task=search_form&Itemid=138,BJ,business,Benin Chamber of Commerce,False,Available: business regulation and some company information at request
,True,False,,http://pretraga2.apr.gov.rs/ObjedinjenePretrage/Search/Search,RS,business,Serbian Business Registers Agency,False,Available: search in latin or cyrillic with detailed company results
,True,True,,http://www.dubaided.gov.ae/eServices/Pages/Anon/TNSrch.aspx?PID=10106&LID=&sname=Search_Trade_Names,AE,business,Dubai Department of Economic Development,False,Available; trade name search in Arabic only
,True,True,,https://www.egov.gov.fj/g2b/Commerce/default.aspx,FJ,business,Fiji Government,True,
,True,False,,http://www.bsx.com/Comp-All.asp,BM,business,Bermuda Stock Exchange,False,Available: a list of all issued securities
,True,False,,http://www.secghana.org/investor/index.asp,GH,business,Securities and Exchange Commission,False,Available: list of all licenced financial market operators
,True,False,,https://www.cba.am/am/SitePages/Default.aspx,AM,business,Central Bank of Armenia,False,Financial reports of traded companies. Information available only in Armenian.
,True,False,,https://business.sos.state.ms.us/corp/soskb/csearch.asp,US,business,Mississippi Secretary of State,False,Available: search for company name or number with basic company information
,True,False,,http://www.scmn.me//index.php,ME,business,Securities Commission,False,Available: financial reports of traded companies
,True,False,,http://www.exchange.jo/en/equities,JO,business,Jordan Stock Exchange,False,Available: list of issuers with basic company information
,True,False,,http://www.gpw.pl/lista_spolek_en,PL,business,Warsaw Stock Exchange,False,Available: search only in Poland and basic company information
,True,False,,http://www.gov.ns.ca/snsmr/access/business/registry-joint-stock-companies.asp,CA,business,Registry of Joint Stock Companies,False,Available: basic information for companies in Nova Scotia
,True,False,,http://www.e-cegjegyzek.hu/index.html,HU,business,Court of company registrations,False,Available in Hungarian only
,True,False,,http://www.sec.gov.mk/default.aspx?item=rassociations&subitem=rassociationsmain,MK,business,Registry of Securities,False,Avalable: list of all issued securities and reports including companies with special reporting obligations
,True,False,,https://oam.cnb.cz/sipresextdad/SIPRESWEB.WEB21.START_INPUT_OAM?p_lang=en,CZ,business,Czech National Bank,False,Available: a list of all issuers with historical information
,True,False,,https://amf.gov.al/tletrave.asp?id=2,AL,regulatory,Albanian Financial Supervisory Authority,False,
,True,False,,http://eservices.dubaitrade.ae/clientdirectory/clientsSearch.do,AE,business,Dubai Jebel Ali Freezone,False,Available: directory of clients
,True,False,,http://www.ffms.ru/ru/contributors/financialmarket/emitters/emitterslist/,RU,business,Federal Service for Financial Market,False,Available: a list of issuers for which the Federal Financial Markets Service is the registration authority
,True,False,,http://www.crps.me/index.php/predraga,ME,business,Ministry of Finance,False,Available: detailed company information
